OBSERVATION COUNT,STATE_PROVINCE,CODE,LATITUDE,LONGITUDE,OBSERVATION DATE,MONTH
X,Florida,FL,26.1779751,-80.2191468,1/1/16,1
X,Florida,FL,26.1779751,-80.2191468,1/1/16,1
X,New York,NY,40.6581231,-73.9642769,1/2/16,1
X,Florida,FL,26.4861584,-80.1607561,1/2/16,1
X,Florida,FL,26.1517688,-80.141809,1/2/16,1
X,Florida,FL,25.396439,-80.566581,1/9/16,1
X,Florida,FL,26.4861584,-80.1607561,1/9/16,1
X,Florida,FL,25.5587322,-80.4517114,1/9/16,1
X,Florida,FL,26.375442,-81.6040206,1/11/16,1
X,Florida,FL,26.375442,-81.6040206,1/11/16,1
X,Florida,FL,28.6417489,-80.7359076,1/14/16,1
X,Florida,FL,26.1279694,-80.3596902,1/15/16,1
X,Florida,FL,26.631443,-80.2332294,1/15/16,1
X,Florida,FL,28.6628762,-80.7234192,1/16/16,1
X,Florida,FL,28.6628762,-80.7234192,1/16/16,1
X,Florida,FL,26.1279694,-80.3596902,1/16/16,1
X,Florida,FL,28.6691082,-81.5574338,1/16/16,1
X,Florida,FL,28.6628762,-80.7234192,1/16/16,1
X,Florida,FL,28.6384118,-80.8215451,1/19/16,1
X,Florida,FL,28.6384118,-80.8215451,1/19/16,1
X,Florida,FL,28.6384118,-80.8215451,1/19/16,1
X,Florida,FL,28.6384118,-80.8215451,1/20/16,1
X,Florida,FL,28.6384118,-80.8215451,1/20/16,1
X,Florida,FL,26.4861584,-80.1607561,1/20/16,1
X,Florida,FL,28.6384118,-80.8215451,1/20/16,1
X,Florida,FL,28.6749256,-80.7164669,1/21/16,1
X,Florida,FL,26.1279694,-80.3596902,1/21/16,1
X,Florida,FL,26.375442,-81.6040206,1/23/16,1
X,Florida,FL,27.9312364,-81.1522293,1/23/16,1
X,Florida,FL,27.9314867,-81.1249781,1/23/16,1
X,Florida,FL,26.375442,-81.6040206,1/23/16,1
X,Florida,FL,27.9314867,-81.1249781,1/23/16,1
X,Florida,FL,27.9314867,-81.1249781,1/23/16,1
X,Florida,FL,26.375442,-81.6040206,1/23/16,1
X,Florida,FL,28.6417489,-80.7359076,1/23/16,1
X,Florida,FL,27.9314867,-81.1249781,1/23/16,1
X,Florida,FL,28.6705447,-80.773068,1/24/16,1
X,Florida,FL,26.3101387,-80.1615608,1/25/16,1
X,Florida,FL,26.7146596,-81.598109,1/25/16,1
X,Florida,FL,26.375442,-81.6040206,1/25/16,1
X,Florida,FL,26.3140166,-81.6349089,1/26/16,1
X,Florida,FL,27.5567917,-82.5390387,1/29/16,1
X,Florida,FL,28.6628762,-80.7234192,1/30/16,1
X,Florida,FL,26.375442,-81.6040206,1/30/16,1
X,Florida,FL,26.4330582,-80.9416786,1/30/16,1
X,Florida,FL,28.6628762,-80.7234192,1/30/16,1
X,Florida,FL,26.375442,-81.6040206,1/31/16,1
X,Florida,FL,26.4861584,-80.1607561,1/31/16,1
X,Florida,FL,26.3829,-80.0692,2/1/16,2
X,Florida,FL,28.6628762,-80.7234192,2/4/16,2
X,Florida,FL,26.4861584,-80.1607561,2/6/16,2
X,Florida,FL,28.6630363,-80.7752609,2/6/16,2
X,Florida,FL,25.396439,-80.566581,2/6/16,2
X,Florida,FL,26.4861584,-80.1607561,2/9/16,2
X,Texas,TX,26.1479755,-97.9897937,2/9/16,2
X,Florida,FL,28.6315791,-80.7783937,2/12/16,2
X,Florida,FL,26.48659,-80.16136,2/13/16,2
X,Florida,FL,28.6417489,-80.7359076,2/15/16,2
X,Florida,FL,28.6417489,-80.7359076,2/15/16,2
X,Florida,FL,30.4051745,-81.6422904,2/17/16,2
X,Florida,FL,29.8221784,-81.314857,2/18/16,2
X,Florida,FL,26.4861584,-80.1607561,2/22/16,2
X,Florida,FL,29.8221784,-81.314857,2/23/16,2
X,Florida,FL,26.4861584,-80.1607561,3/2/16,3
X,Florida,FL,26.375442,-81.6040206,3/3/16,3
X,Florida,FL,26.934786,-81.9868523,3/5/16,3
X,Florida,FL,26.3140166,-81.6349089,3/8/16,3
X,Texas,TX,26.1467861,-97.9883335,3/8/16,3
X,Florida,FL,26.982429,-81.117589,3/8/16,3
X,Florida,FL,26.4861584,-80.1607561,3/8/16,3
X,Florida,FL,26.2951672,-80.1865482,3/9/16,3
X,Florida,FL,27.9903088,-81.8592167,3/10/16,3
X,Florida,FL,25.4634,-80.3343,3/11/16,3
X,Florida,FL,25.4634,-80.3343,3/11/16,3
X,Florida,FL,26.375442,-81.6040206,3/12/16,3
X,Florida,FL,26.1517688,-80.141809,3/12/16,3
