STATE_PROVINCE,LATITUDE,LONGITUDE,OBSERVATION DATE,MONTH
Connecticut,41.1754303,-73.1032485,1/1/10,1
Connecticut,41.1754303,-73.1032485,1/1/10,1
Connecticut,41.1754303,-73.1032485,1/1/10,1
Connecticut,41.1754303,-73.1032485,1/1/10,1
Massachusetts,42.7639008,-70.8022995,1/1/10,1
Massachusetts,42.7883464,-70.8082581,1/1/10,1
Massachusetts,42.7985496,-70.8090735,1/1/10,1
Massachusetts,42.7639008,-70.8022995,1/1/10,1
Massachusetts,42.7639008,-70.8022995,1/1/10,1
Massachusetts,42.7985496,-70.8090735,1/1/10,1
Massachusetts,42.7639008,-70.8022995,1/1/10,1
Massachusetts,42.7883464,-70.8082581,1/1/10,1
Michigan,46.2303329,-84.5510334,1/1/10,1
Michigan,46.2303329,-84.5510334,1/1/10,1
Michigan,46.4444128,-84.3125075,1/1/10,1
Michigan,46.272936,-84.5878601,1/1/10,1
New Jersey,40.7025698,-74.0493536,1/1/10,1
New York,40.8429942,-72.4762005,1/1/10,1
New York,40.8429942,-72.4762005,1/1/10,1
New York,40.8179665,-72.5592041,1/1/10,1
New York,40.8427805,-72.4742851,1/1/10,1
New York,40.8417837,-72.4739742,1/1/10,1
New York,40.8429942,-72.4762005,1/1/10,1
Wisconsin,43.02692,-87.89763,1/1/10,1
Wisconsin,43.01332,-87.89478,1/1/10,1
Wisconsin,43.0032,-87.8895,1/1/10,1
Wisconsin,43.489109,-87.8806257,1/1/10,1
Wisconsin,43.450925,-87.9208374,1/1/10,1
Wisconsin,43.489109,-87.8806257,1/1/10,1
Wisconsin,43.489109,-87.8806257,1/1/10,1
Wisconsin,43.5339638,-87.9021988,1/1/10,1
Wisconsin,43.5153413,-87.8805393,1/1/10,1
Connecticut,41.1754303,-73.1032485,1/2/10,1
Michigan,46.398094,-84.3695068,1/2/10,1
Michigan,46.2029434,-84.5708656,1/2/10,1
Michigan,46.1986067,-84.5715523,1/2/10,1
Michigan,46.3751224,-84.3540573,1/2/10,1
Michigan,46.3900432,-84.3186951,1/2/10,1
Minnesota,46.78324,-92.10659,1/2/10,1
Minnesota,46.7311691,-92.052362,1/2/10,1
Minnesota,46.7311691,-92.052362,1/2/10,1
New Hampshire,42.9805395,-70.7080078,1/2/10,1
Wisconsin,46.71934,-92.05772,1/2/10,1
Wisconsin,43.01332,-87.89478,1/2/10,1
Wisconsin,43.489109,-87.8806257,1/2/10,1
Wisconsin,43.489109,-87.8806257,1/2/10,1
Wisconsin,43.489109,-87.8806257,1/2/10,1
Wisconsin,43.489109,-87.8806257,1/2/10,1
Wisconsin,43.5469306,-87.8806686,1/2/10,1
Wisconsin,43.489109,-87.8806257,1/3/10,1
Wisconsin,43.489109,-87.8806257,1/3/10,1
Wisconsin,43.5153413,-87.8805393,1/3/10,1
Connecticut,41.1666667,-73.15,1/4/10,1
Connecticut,41.1666667,-73.15,1/4/10,1
Massachusetts,42.7639008,-70.8022995,1/5/10,1
Colorado,38.93309,-104.60853,1/6/10,1
New York,40.5885208,-73.546552,1/6/10,1
Wisconsin,45.2254568,-89.0891499,1/6/10,1
Wisconsin,43.5737998,-87.8801966,1/6/10,1
Washington,47.8447314,-119.5770836,1/7/10,1
Massachusetts,42.733799,-70.7903976,1/8/10,1
Massachusetts,42.7984237,-70.8089447,1/8/10,1
Michigan,44.6801275,-85.6617737,1/8/10,1
Wisconsin,43.489109,-87.8806257,1/8/10,1
Wisconsin,43.489109,-87.8806257,1/8/10,1
Connecticut,41.2619859,-72.5548234,1/9/10,1
Massachusetts,42.7639008,-70.8022995,1/9/10,1
Massachusetts,42.8125916,-70.8772964,1/9/10,1
Massachusetts,42.7639008,-70.8022995,1/9/10,1
Michigan,43.8902228,-83.1819534,1/9/10,1
Wisconsin,46.6298294,-90.780575,1/9/10,1
Wisconsin,44.2324086,-87.7745819,1/9/10,1
Wisconsin,43.02692,-87.89763,1/9/10,1
